P1,P2,Pi,C1,C2,Ci
,,0,9152,8927,0
9152,8927,0,9646,8927,1
9152,8927,1,8775,8927,2
9152,8927,2,1892,8927,3
9152,8927,3,9518,8927,4
9152,8927,4,9178,8927,5
9152,8927,5,9152,1278,6
1892,8927,5,1892,1278,6
9518,8927,5,9518,1278,6
9152,8927,6,9152,8973,7
8775,8927,7,8775,9953,8
9178,8927,7,9178,9953,8
9152,8927,7,9152,9953,8
9152,8927,8,9152,1256,9
9646,8927,8,9646,1256,9
9152,8927,9,9152,1239,10
9152,1278,10,9152,9960,11
9646,1256,11,9646,7635,12
9152,1256,11,9152,7635,12
9152,9953,12,9152,9925,13
8775,9953,12,8775,9925,13
9152,9953,13,9152,6766,14
9152,8927,14,9152,9292,15
9152,9953,15,6663,9953,16
9152,9960,15,6663,9960,16
9152,8927,15,6663,8927,16
9152,9292,15,6663,9292,16
9152,1278,15,6663,1278,16
9152,9925,16,9152,120,17
6663,8927,17,6663,9492,18
9152,8927,17,9152,9492,18
6663,1278,18,6663,8936,19
9152,1278,18,9152,8936,19
9152,9953,19,9152,9438,20
9152,8927,20,9152,5059,21
6663,8927,20,6663,5059,21
9518,8927,20,9518,5059,21
9178,8927,20,9178,5059,21
9152,9292,21,468,9292,22
9152,1278,21,468,1278,22
9152,8927,21,468,8927,22
9152,9953,21,468,9953,22
9152,9492,21,468,9492,22
9152,9953,22,8890,9953,23
9152,1278,22,8890,1278,23
9152,9953,23,9152,8995,24
9152,9925,24,9117,9925,25
9152,1278,24,9117,1278,25
9152,9960,24,9117,9960,25
9152,8927,24,9117,8927,25
9152,8995,24,9117,8995,25
9152,9953,24,9117,9953,25
9152,5059,24,9117,5059,25
1892,1278,25,1892,9433,26
9152,1278,25,9152,9433,26
6663,1278,25,6663,9433,26
468,1278,25,468,9433,26
9518,1278,25,9518,9433,26
9152,8927,26,9152,2359,27
9152,8936,27,4031,8936,28
9152,8927,27,4031,8927,28
9152,9433,27,4031,9433,28
9152,9960,27,4031,9960,28
9152,9953,27,4031,9953,28
9152,1278,27,4031,1278,28
9152,1278,28,9099,1278,29
9152,9953,28,9099,9953,29
9152,9433,28,9099,9433,29
9152,8927,28,9099,8927,29
9152,5059,28,9099,5059,29
9152,9960,28,9099,9960,29
9152,9492,29,9152,9458,30
9152,8927,30,9152,2582,31
6663,8927,30,6663,2582,31
9152,9492,31,9167,9492,32
9152,1278,31,9167,1278,32
9152,2582,31,9167,2582,32
9152,1239,31,9167,1239,32
9152,8927,31,9167,8927,32
9152,9433,31,9167,9433,32
9152,9953,31,9167,9953,32
9152,1256,31,9167,1256,32
9152,9292,31,9167,9292,32
9152,5059,31,9167,5059,32
6663,8936,32,2186,8936,33
6663,1278,32,2186,1278,33
6663,9433,32,2186,9433,33
6663,8927,32,2186,8927,33
6663,5059,32,2186,5059,33
6663,9960,32,2186,9960,33
9152,1239,33,2616,1239,34
9152,9492,33,2616,9492,34
9152,8927,33,2616,8927,34
9152,1256,33,2616,1256,34
4031,1278,34,9512,1278,35
4031,9433,34,9512,9433,35
4031,8936,34,9512,8936,35
4031,8927,34,9512,8927,35
9152,1256,35,9152,8810,36
2186,9433,36,2186,1259,37
9167,9433,36,9167,1259,37
6663,9433,36,6663,1259,37
4031,9433,37,8068,9433,38
4031,9960,37,8068,9960,38
4031,1278,37,8068,1278,38
4031,8936,37,8068,8936,38
4031,8927,37,8068,8927,38
4031,9953,37,8068,9953,38
9152,9433,38,6334,9433,39
9152,8927,38,6334,8927,39
9152,5059,38,6334,5059,39
6663,9433,39,9650,9433,40
6663,1259,39,9650,1259,40
6663,9292,39,9650,9292,40
6663,1278,39,9650,1278,40
6663,8927,39,9650,8927,40
9167,8927,40,9167,3732,41
9152,1256,41,7699,1256,42
9152,8995,42,9150,8995,43
9152,8927,42,9150,8927,43
9152,5059,42,9150,5059,43
9152,9433,42,9150,9433,43
9152,120,42,9150,120,43
9152,9438,42,9150,9438,43
9152,9925,42,9150,9925,43
9152,9960,42,9150,9960,43
9152,9953,42,9150,9953,43
9152,1278,42,9150,1278,43
9099,8927,43,4004,8927,44
9099,5059,43,4004,5059,44
9099,9953,43,4004,9953,44
9099,9433,43,4004,9433,44
9099,1278,43,4004,1278,44
9099,9960,43,4004,9960,44
9152,5059,44,727,5059,45
9152,8927,44,727,8927,45
9152,9433,44,727,9433,45
9152,9492,44,727,9492,45
9152,1256,45,9152,3411,46
2616,1256,45,2616,3411,46
4004,9953,46,4004,9498,47
9117,9953,46,9117,9498,47
9150,9953,46,9150,9498,47
468,9953,46,468,9498,47
9167,9953,46,9167,9498,47
9152,9953,46,9152,9498,47
9152,9498,47,9152,6973,48
6663,9433,48,6663,7855,49
6663,9433,49,2179,9433,50
6663,8927,49,2179,8927,50
9150,9960,50,9150,2559,51
4031,9960,50,4031,2559,51
6663,9433,51,8874,9433,52
6663,5059,51,8874,5059,52
6663,8927,51,8874,8927,52
9150,1278,52,5441,1278,53
9152,1256,53,9152,480,54
9152,8995,54,8273,8995,55
2186,9960,55,750,9960,56
2186,9433,55,750,9433,56
2186,8936,55,750,8936,56
2186,1278,55,750,1278,56
9152,8973,56,6606,8973,57
9152,9498,56,6606,9498,57
9152,9953,56,6606,9953,57
9152,8927,56,6606,8927,57
9152,8995,56,6606,8995,57
9152,5059,56,6606,5059,57
9152,120,56,6606,120,57
9152,9925,56,6606,9925,57
9152,1239,56,6606,1239,57
9152,1278,56,6606,1278,57
9650,1259,57,3983,1259,58
9650,9433,57,3983,9433,58
9152,1239,58,6639,1239,59
9152,1256,58,6639,1256,59
9152,8973,58,6639,8973,59
9152,5059,58,6639,5059,59
9152,9953,58,6639,9953,59
9152,120,58,6639,120,59
9152,9925,58,6639,9925,59
9152,8995,58,6639,8995,59
9152,8927,58,6639,8927,59
4031,9960,59,788,9960,60
9167,8927,60,9167,5428,61
9152,3411,61,9269,3411,62
9152,1256,61,9269,1256,62
9150,8927,62,9150,1216,63
4004,8927,62,4004,1216,63
4031,8927,62,4031,1216,63
6606,8927,62,6606,1216,63
9152,8927,62,9152,1216,63
9099,8927,62,9099,1216,63
9117,8927,62,9117,1216,63
9152,9498,63,2045,9498,64
9152,8927,63,2045,8927,64
9152,9925,63,2045,9925,64
9650,9433,64,9650,43,65
9167,9433,64,9167,43,65
9152,8927,65,1312,8927,66
9152,1239,65,1312,1239,66
9152,8973,65,1312,8973,66
9152,9433,66,8173,9433,67
9152,9492,66,8173,9492,67
9152,9292,66,8173,9292,67
9152,8927,66,8173,8927,67
6663,7855,67,4098,7855,68
6663,9433,67,4098,9433,68
6663,1278,67,4098,1278,68
6663,9960,67,4098,9960,68
6663,8927,67,4098,8927,68
6663,5059,67,4098,5059,68
9152,8927,68,9152,5983,69
6663,8927,68,6663,5983,69
9167,8927,68,9167,5983,69
9152,1256,69,9152,8153,70
9152,1256,70,59,1256,71
6663,5983,71,9116,5983,72
6663,8927,71,9116,8927,72
6663,9433,71,9116,9433,72
9152,8927,0,9152,8927,1
9152,8927,1,9152,8927,2
9646,8927,1,9646,8927,2
8775,8927,2,8775,8927,3
9152,8927,2,9152,8927,3
9646,8927,2,9646,8927,3
8775,8927,3,8775,8927,4
9152,8927,3,9152,8927,4
1892,8927,3,1892,8927,4
9646,8927,3,9646,8927,4
8775,8927,4,8775,8927,5
9152,8927,4,9152,8927,5
1892,8927,4,1892,8927,5
9518,8927,4,9518,8927,5
9646,8927,4,9646,8927,5
9518,8927,5,9518,8927,6
9646,8927,5,9646,8927,6
9178,8927,5,9178,8927,6
8775,8927,5,8775,8927,6
9152,8927,5,9152,8927,6
1892,8927,5,1892,8927,6
9518,8927,6,9518,8927,7
1892,1278,6,1892,1278,7
9646,8927,6,9646,8927,7
9152,1278,6,9152,1278,7
9178,8927,6,9178,8927,7
9518,1278,6,9518,1278,7
9152,8927,6,9152,8927,7
1892,8927,6,1892,8927,7
8775,8927,6,8775,8927,7
9518,8927,7,9518,8927,8
1892,1278,7,1892,1278,8
9152,8973,7,9152,8973,8
9646,8927,7,9646,8927,8
9152,1278,7,9152,1278,8
9178,8927,7,9178,8927,8
9518,1278,7,9518,1278,8
9152,8927,7,9152,8927,8
1892,8927,7,1892,8927,8
8775,8927,7,8775,8927,8
9178,9953,8,9178,9953,9
9152,9953,8,9152,9953,9
9518,8927,8,9518,8927,9
8775,9953,8,8775,9953,9
1892,1278,8,1892,1278,9
9152,8973,8,9152,8973,9
9646,8927,8,9646,8927,9
9518,1278,8,9518,1278,9
9152,1278,8,9152,1278,9
9178,8927,8,9178,8927,9
8775,8927,8,8775,8927,9
9152,8927,8,9152,8927,9
1892,8927,8,1892,8927,9
9178,9953,9,9178,9953,10
9152,9953,9,9152,9953,10
9518,8927,9,9518,8927,10
9152,1256,9,9152,1256,10
8775,9953,9,8775,9953,10
1892,1278,9,1892,1278,10
9646,1256,9,9646,1256,10
9152,8973,9,9152,8973,10
9646,8927,9,9646,8927,10
9152,1278,9,9152,1278,10
9178,8927,9,9178,8927,10
9518,1278,9,9518,1278,10
9152,8927,9,9152,8927,10
1892,8927,9,1892,8927,10
8775,8927,9,8775,8927,10
9152,1239,10,9152,1239,11
9178,9953,10,9178,9953,11
9152,9953,10,9152,9953,11
9518,8927,10,9518,8927,11
9152,1256,10,9152,1256,11
8775,9953,10,8775,9953,11
1892,1278,10,1892,1278,11
9646,1256,10,9646,1256,11
9152,8973,10,9152,8973,11
9646,8927,10,9646,8927,11
9152,1278,10,9152,1278,11
9178,8927,10,9178,8927,11
9518,1278,10,9518,1278,11
9152,8927,10,9152,8927,11
1892,8927,10,1892,8927,11
8775,8927,10,8775,8927,11
9152,1239,11,9152,1239,12
9178,9953,11,9178,9953,12
9152,9953,11,9152,9953,12
9518,8927,11,9518,8927,12
9152,1256,11,9152,1256,12
8775,9953,11,8775,9953,12
1892,1278,11,1892,1278,12
9646,1256,11,9646,1256,12
9152,8973,11,9152,8973,12
9152,9960,11,9152,9960,12
9646,8927,11,9646,8927,12
9152,1278,11,9152,1278,12
9178,8927,11,9178,8927,12
9518,1278,11,9518,1278,12
9152,8927,11,9152,8927,12
1892,8927,11,1892,8927,12
8775,8927,11,8775,8927,12
9152,1239,12,9152,1239,13
9178,9953,12,9178,9953,13
9152,9953,12,9152,9953,13
9646,7635,12,9646,7635,13
9152,1256,12,9152,1256,13
9518,8927,12,9518,8927,13
8775,9953,12,8775,9953,13
9646,1256,12,9646,1256,13
1892,1278,12,1892,1278,13
9152,8973,12,9152,8973,13
9152,7635,12,9152,7635,13
9152,9960,12,9152,9960,13
9646,8927,12,9646,8927,13
9152,1278,12,9152,1278,13
9178,8927,12,9178,8927,13
9518,1278,12,9518,1278,13
9152,8927,12,9152,8927,13
1892,8927,12,1892,8927,13
8775,8927,12,8775,8927,13
9152,9925,13,9152,9925,14
9152,1239,13,9152,1239,14
9178,9953,13,9178,9953,14
9152,9953,13,9152,9953,14
9646,7635,13,9646,7635,14
8775,9953,13,8775,9953,14
9152,1256,13,9152,1256,14
9518,8927,13,9518,8927,14
9646,1256,13,9646,1256,14
1892,1278,13,1892,1278,14
9152,8973,13,9152,8973,14
9152,7635,13,9152,7635,14
9152,9960,13,9152,9960,14
9646,8927,13,9646,8927,14
9152,1278,13,9152,1278,14
8775,9925,13,8775,9925,14
9178,8927,13,9178,8927,14
9518,1278,13,9518,1278,14
9152,8927,13,9152,8927,14
1892,8927,13,1892,8927,14
8775,8927,13,8775,8927,14
9152,9925,14,9152,9925,15
9152,9953,14,9152,9953,15
9646,7635,14,9646,7635,15
8775,9953,14,8775,9953,15
8775,9925,14,8775,9925,15
1892,1278,14,1892,1278,15
9152,8973,14,9152,8973,15
9152,1278,14,9152,1278,15
9152,6766,14,9152,6766,15
9152,1239,14,9152,1239,15
9518,8927,14,9518,8927,15
9152,1256,14,9152,1256,15
9152,7635,14,9152,7635,15
9518,1278,14,9518,1278,15
9152,8927,14,9152,8927,15
1892,8927,14,1892,8927,15
8775,8927,14,8775,8927,15
9178,9953,14,9178,9953,15
9646,1256,14,9646,1256,15
9152,9960,14,9152,9960,15
9646,8927,14,9646,8927,15
9178,8927,14,9178,8927,15
9152,9925,15,9152,9925,16
9152,9953,15,9152,9953,16
9646,7635,15,9646,7635,16
8775,9953,15,8775,9953,16
9152,9292,15,9152,9292,16
8775,9925,15,8775,9925,16
1892,1278,15,1892,1278,16
9152,8973,15,9152,8973,16
9152,1278,15,9152,1278,16
9152,6766,15,9152,6766,16
9152,1239,15,9152,1239,16
9518,8927,15,9518,8927,16
9152,1256,15,9152,1256,16
9152,7635,15,9152,7635,16
9518,1278,15,9518,1278,16
9152,8927,15,9152,8927,16
1892,8927,15,1892,8927,16
8775,8927,15,8775,8927,16
9178,9953,15,9178,9953,16
9646,1256,15,9646,1256,16
9152,9960,15,9152,9960,16
9646,8927,15,9646,8927,16
9178,8927,15,9178,8927,16
9152,9925,16,9152,9925,17
9152,9953,16,9152,9953,17
6663,9953,16,6663,9953,17
9646,7635,16,9646,7635,17
8775,9953,16,8775,9953,17
9152,9292,16,9152,9292,17
8775,9925,16,8775,9925,17
6663,9960,16,6663,9960,17
1892,1278,16,1892,1278,17
9152,8973,16,9152,8973,17
9152,1278,16,9152,1278,17
9152,6766,16,9152,6766,17
9152,1239,16,9152,1239,17
9518,8927,16,9518,8927,17
9152,1256,16,9152,1256,17
9152,7635,16,9152,7635,17
9518,1278,16,9518,1278,17
6663,8927,16,6663,8927,17
9152,8927,16,9152,8927,17
1892,8927,16,1892,8927,17
8775,8927,16,8775,8927,17
6663,9292,16,6663,9292,17
9178,9953,16,9178,9953,17
9646,1256,16,9646,1256,17
9152,9960,16,9152,9960,17
9646,8927,16,9646,8927,17
9178,8927,16,9178,8927,17
6663,1278,16,6663,1278,17
9152,9925,17,9152,9925,18
9152,9953,17,9152,9953,18
6663,9953,17,6663,9953,18
9646,7635,17,9646,7635,18
8775,9953,17,8775,9953,18
9152,9292,17,9152,9292,18
9152,120,17,9152,120,18
8775,9925,17,8775,9925,18
6663,9960,17,6663,9960,18
1892,1278,17,1892,1278,18
9152,8973,17,9152,8973,18
9152,1278,17,9152,1278,18
9152,6766,17,9152,6766,18
9152,1239,17,9152,1239,18
9518,8927,17,9518,8927,18
9152,1256,17,9152,1256,18
9152,7635,17,9152,7635,18
9518,1278,17,9518,1278,18
9152,8927,17,9152,8927,18
6663,8927,17,6663,8927,18
1892,8927,17,1892,8927,18
8775,8927,17,8775,8927,18
6663,9292,17,6663,9292,18
9178,9953,17,9178,9953,18
9646,1256,17,9646,1256,18
9152,9960,17,9152,9960,18
9646,8927,17,9646,8927,18
9178,8927,17,9178,8927,18
6663,1278,17,6663,1278,18
9152,9925,18,9152,9925,19
9152,9953,18,9152,9953,19
6663,9953,18,6663,9953,19
9646,7635,18,9646,7635,19
8775,9953,18,8775,9953,19
9152,9292,18,9152,9292,19
6663,9492,18,6663,9492,19
9152,120,18,9152,120,19
8775,9925,18,8775,9925,19
6663,9960,18,6663,9960,19
1892,1278,18,1892,1278,19
9152,8973,18,9152,8973,19
9152,1278,18,9152,1278,19
9152,9492,18,9152,9492,19
9152,6766,18,9152,6766,19
9152,1239,18,9152,1239,19
9518,8927,18,9518,8927,19
9152,1256,18,9152,1256,19
9152,7635,18,9152,7635,19
9518,1278,18,9518,1278,19
6663,8927,18,6663,8927,19
9152,8927,18,9152,8927,19
1892,8927,18,1892,8927,19
8775,8927,18,8775,8927,19
6663,9292,18,6663,9292,19
9178,9953,18,9178,9953,19
9646,1256,18,9646,1256,19
9152,9960,18,9152,9960,19
9646,8927,18,9646,8927,19
9178,8927,18,9178,8927,19
6663,1278,18,6663,1278,19
9152,9925,19,9152,9925,20
9152,9953,19,9152,9953,20
6663,9953,19,6663,9953,20
9646,7635,19,9646,7635,20
8775,9953,19,8775,9953,20
9152,9292,19,9152,9292,20
6663,9492,19,6663,9492,20
6663,8936,19,6663,8936,20
9152,120,19,9152,120,20
8775,9925,19,8775,9925,20
6663,9960,19,6663,9960,20
1892,1278,19,1892,1278,20
9152,8973,19,9152,8973,20
9152,1278,19,9152,1278,20
9152,9492,19,9152,9492,20
9152,6766,19,9152,6766,20
9152,1239,19,9152,1239,20
9518,8927,19,9518,8927,20
9152,1256,19,9152,1256,20
9152,7635,19,9152,7635,20
9152,8936,19,9152,8936,20
9518,1278,19,9518,1278,20
6663,8927,19,6663,8927,20
9152,8927,19,9152,8927,20
1892,8927,19,1892,8927,20
8775,8927,19,8775,8927,20
6663,9292,19,6663,9292,20
9178,9953,19,9178,9953,20
9646,1256,19,9646,1256,20
9152,9960,19,9152,9960,20
9646,8927,19,9646,8927,20
9178,8927,19,9178,8927,20
6663,1278,19,6663,1278,20
9152,9925,20,9152,9925,21
9152,9953,20,9152,9953,21
6663,9953,20,6663,9953,21
9646,7635,20,9646,7635,21
8775,9953,20,8775,9953,21
9152,9292,20,9152,9292,21
6663,9492,20,6663,9492,21
6663,8936,20,6663,8936,21
9152,120,20,9152,120,21
8775,9925,20,8775,9925,21
6663,9960,20,6663,9960,21
9152,9438,20,9152,9438,21
1892,1278,20,1892,1278,21
9152,8973,20,9152,8973,21
9152,1278,20,9152,1278,21
9152,9492,20,9152,9492,21
9152,6766,20,9152,6766,21
9152,1239,20,9152,1239,21
9518,8927,20,9518,8927,21
9152,1256,20,9152,1256,21
9152,7635,20,9152,7635,21
9152,8936,20,9152,8936,21
9518,1278,20,9518,1278,21
6663,8927,20,6663,8927,21
9152,8927,20,9152,8927,21
1892,8927,20,1892,8927,21
8775,8927,20,8775,8927,21
6663,9292,20,6663,9292,21
9178,9953,20,9178,9953,21
9646,1256,20,9646,1256,21
9152,9960,20,9152,9960,21
9646,8927,20,9646,8927,21
9178,8927,20,9178,8927,21
6663,1278,20,6663,1278,21
9152,9925,21,9152,9925,22
6663,5059,21,6663,5059,22
9152,9953,21,9152,9953,22
6663,9953,21,6663,9953,22
9646,7635,21,9646,7635,22
8775,9953,21,8775,9953,22
9152,9292,21,9152,9292,22
6663,9492,21,6663,9492,22
6663,8936,21,6663,8936,22
9152,120,21,9152,120,22
8775,9925,21,8775,9925,22
9178,5059,21,9178,5059,22
9152,5059,21,9152,5059,22
6663,9960,21,6663,9960,22
9152,9438,21,9152,9438,22
1892,1278,21,1892,1278,22
9152,8973,21,9152,8973,22
9152,1278,21,9152,1278,22
9152,9492,21,9152,9492,22
9152,6766,21,9152,6766,22
9152,1239,21,9152,1239,22
9518,8927,21,9518,8927,22
9152,1256,21,9152,1256,22
9152,7635,21,9152,7635,22
9152,8936,21,9152,8936,22
9518,1278,21,9518,1278,22
9152,8927,21,9152,8927,22
6663,8927,21,6663,8927,22
1892,8927,21,1892,8927,22
8775,8927,21,8775,8927,22
6663,9292,21,6663,9292,22
9178,9953,21,9178,9953,22
6663,1278,21,6663,1278,22
9646,1256,21,9646,1256,22
9152,9960,21,9152,9960,22
9646,8927,21,9646,8927,22
9178,8927,21,9178,8927,22
9518,5059,21,9518,5059,22
9152,9925,22,9152,9925,23
6663,5059,22,6663,5059,23
9152,9953,22,9152,9953,23
6663,9953,22,6663,9953,23
9646,7635,22,9646,7635,23
8775,9953,22,8775,9953,23
9152,9292,22,9152,9292,23
468,9292,22,468,9292,23
6663,9492,22,6663,9492,23
6663,8936,22,6663,8936,23
9152,120,22,9152,120,23
8775,9925,22,8775,9925,23
9178,5059,22,9178,5059,23
468,1278,22,468,1278,23
9152,5059,22,9152,5059,23
6663,9960,22,6663,9960,23
9152,9438,22,9152,9438,23
1892,1278,22,1892,1278,23
9152,8973,22,9152,8973,23
9518,5059,22,9518,5059,23
9152,1278,22,9152,1278,23
9152,9492,22,9152,9492,23
468,8927,22,468,8927,23
9152,6766,22,9152,6766,23
9152,1239,22,9152,1239,23
9518,8927,22,9518,8927,23
9152,1256,22,9152,1256,23
9152,7635,22,9152,7635,23
9152,8936,22,9152,8936,23
9518,1278,22,9518,1278,23
9152,8927,22,9152,8927,23
6663,8927,22,6663,8927,23
1892,8927,22,1892,8927,23
8775,8927,22,8775,8927,23
468,9953,22,468,9953,23
6663,9292,22,6663,9292,23
9178,9953,22,9178,9953,23
9646,1256,22,9646,1256,23
9152,9960,22,9152,9960,23
9646,8927,22,9646,8927,23
468,9492,22,468,9492,23
9178,8927,22,9178,8927,23
6663,1278,22,6663,1278,23
9152,9925,23,9152,9925,24
6663,5059,23,6663,5059,24
9152,9953,23,9152,9953,24
6663,9953,23,6663,9953,24
9646,7635,23,9646,7635,24
8775,9953,23,8775,9953,24
9152,9292,23,9152,9292,24
468,9292,23,468,9292,24
6663,9492,23,6663,9492,24
6663,8936,23,6663,8936,24
9152,120,23,9152,120,24
8775,9925,23,8775,9925,24
8890,9953,23,8890,9953,24
9178,5059,23,9178,5059,24
468,1278,23,468,1278,24
9152,5059,23,9152,5059,24
6663,9960,23,6663,9960,24
9152,9438,23,9152,9438,24
1892,1278,23,1892,1278,24
9152,8973,23,9152,8973,24
9152,1278,23,9152,1278,24
9152,9492,23,9152,9492,24
468,8927,23,468,8927,24
9152,6766,23,9152,6766,24
9152,1239,23,9152,1239,24
9518,8927,23,9518,8927,24
9152,1256,23,9152,1256,24
9152,7635,23,9152,7635,24
9152,8936,23,9152,8936,24
9518,1278,23,9518,1278,24
9152,8927,23,9152,8927,24
6663,8927,23,6663,8927,24
1892,8927,23,1892,8927,24
8775,8927,23,8775,8927,24
468,9953,23,468,9953,24
6663,9292,23,6663,9292,24
9178,9953,23,9178,9953,24
6663,1278,23,6663,1278,24
9646,1256,23,9646,1256,24
9152,9960,23,9152,9960,24
9646,8927,23,9646,8927,24
468,9492,23,468,9492,24
9178,8927,23,9178,8927,24
9518,5059,23,9518,5059,24
8890,1278,23,8890,1278,24
9152,9925,24,9152,9925,25
6663,5059,24,6663,5059,25
9152,9953,24,9152,9953,25
6663,9953,24,6663,9953,25
9646,7635,24,9646,7635,25
8775,9953,24,8775,9953,25
9152,9292,24,9152,9292,25
468,9292,24,468,9292,25
6663,9492,24,6663,9492,25
6663,8936,24,6663,8936,25
9152,120,24,9152,120,25
8775,9925,24,8775,9925,25
8890,9953,24,8890,9953,25
9178,5059,24,9178,5059,25
468,1278,24,468,1278,25
9152,5059,24,9152,5059,25
9152,8995,24,9152,8995,25
6663,9960,24,6663,9960,25
9152,9438,24,9152,9438,25
1892,1278,24,1892,1278,25
9152,8973,24,9152,8973,25
9518,5059,24,9518,5059,25
9152,1278,24,9152,1278,25
9152,9492,24,9152,9492,25
468,8927,24,468,8927,25
9152,6766,24,9152,6766,25
9152,1239,24,9152,1239,25
9518,8927,24,9518,8927,25
9152,1256,24,9152,1256,25
9152,7635,24,9152,7635,25
9152,8936,24,9152,8936,25
9518,1278,24,9518,1278,25
9152,8927,24,9152,8927,25
6663,8927,24,6663,8927,25
1892,8927,24,1892,8927,25
8775,8927,24,8775,8927,25
468,9953,24,468,9953,25
6663,9292,24,6663,9292,25
9178,9953,24,9178,9953,25
9646,1256,24,9646,1256,25
9152,9960,24,9152,9960,25
9646,8927,24,9646,8927,25
468,9492,24,468,9492,25
9178,8927,24,9178,8927,25
6663,1278,24,6663,1278,25
8890,1278,24,8890,1278,25
9152,9925,25,9152,9925,26
6663,5059,25,6663,5059,26
9152,9953,25,9152,9953,26
6663,9953,25,6663,9953,26
9646,7635,25,9646,7635,26
8775,9953,25,8775,9953,26
9152,9292,25,9152,9292,26
9117,9925,25,9117,9925,26
468,9292,25,468,9292,26
6663,9492,25,6663,9492,26
6663,8936,25,6663,8936,26
9117,8927,25,9117,8927,26
9152,120,25,9152,120,26
8775,9925,25,8775,9925,26
8890,9953,25,8890,9953,26
9178,5059,25,9178,5059,26
468,1278,25,468,1278,26
9152,5059,25,9152,5059,26
9152,8995,25,9152,8995,26
6663,9960,25,6663,9960,26
9152,9438,25,9152,9438,26
9117,8995,25,9117,8995,26
1892,1278,25,1892,1278,26
9152,8973,25,9152,8973,26
9152,1278,25,9152,1278,26
9117,9953,25,9117,9953,26
9152,9492,25,9152,9492,26
468,8927,25,468,8927,26
9152,6766,25,9152,6766,26
9152,1239,25,9152,1239,26
9518,8927,25,9518,8927,26
9152,1256,25,9152,1256,26
9152,7635,25,9152,7635,26
9117,5059,25,9117,5059,26
9152,8936,25,9152,8936,26
9152,8927,25,9152,8927,26
9518,1278,25,9518,1278,26
9117,1278,25,9117,1278,26
6663,8927,25,6663,8927,26
9117,9960,25,9117,9960,26
1892,8927,25,1892,8927,26
8775,8927,25,8775,8927,26
468,9953,25,468,9953,26
6663,9292,25,6663,9292,26
9178,9953,25,9178,9953,26
6663,1278,25,6663,1278,26
9646,1256,25,9646,1256,26
9152,9960,25,9152,9960,26
9646,8927,25,9646,8927,26
468,9492,25,468,9492,26
9178,8927,25,9178,8927,26
9518,5059,25,9518,5059,26
8890,1278,25,8890,1278,26
9152,9925,26,9152,9925,27
6663,5059,26,6663,5059,27
9152,9433,26,9152,9433,27
9152,9953,26,9152,9953,27
6663,9953,26,6663,9953,27
9646,7635,26,9646,7635,27
8775,9953,26,8775,9953,27
9152,9292,26,9152,9292,27
9117,9925,26,9117,9925,27
468,9292,26,468,9292,27
6663,9492,26,6663,9492,27
6663,8936,26,6663,8936,27
9117,8927,26,9117,8927,27
9152,120,26,9152,120,27
8775,9925,26,8775,9925,27
8890,9953,26,8890,9953,27
6663,9433,26,6663,9433,27
9178,5059,26,9178,5059,27
468,1278,26,468,1278,27
9152,5059,26,9152,5059,27
9152,8995,26,9152,8995,27
6663,9960,26,6663,9960,27
1892,1278,26,1892,1278,27
9152,9438,26,9152,9438,27
9117,8995,26,9117,8995,27
9152,8973,26,9152,8973,27
9518,5059,26,9518,5059,27
9152,1278,26,9152,1278,27
9117,9953,26,9117,9953,27
9152,9492,26,9152,9492,27
468,8927,26,468,8927,27
9152,6766,26,9152,6766,27
9152,1239,26,9152,1239,27
1892,9433,26,1892,9433,27
9518,8927,26,9518,8927,27
9152,1256,26,9152,1256,27
9152,7635,26,9152,7635,27
9117,5059,26,9117,5059,27
9518,1278,26,9518,1278,27
9152,8936,26,9152,8936,27
9152,8927,26,9152,8927,27
9117,1278,26,9117,1278,27
6663,8927,26,6663,8927,27
9117,9960,26,9117,9960,27
1892,8927,26,1892,8927,27
8775,8927,26,8775,8927,27
468,9953,26,468,9953,27
6663,9292,26,6663,9292,27
9178,9953,26,9178,9953,27
6663,1278,26,6663,1278,27
9646,1256,26,9646,1256,27
9152,9960,26,9152,9960,27
9646,8927,26,9646,8927,27
468,9492,26,468,9492,27
9178,8927,26,9178,8927,27
9518,9433,26,9518,9433,27
468,9433,26,468,9433,27
8890,1278,26,8890,1278,27
9152,9925,27,9152,9925,28
6663,5059,27,6663,5059,28
9152,9953,27,9152,9953,28
9152,9433,27,9152,9433,28
6663,9953,27,6663,9953,28
9646,7635,27,9646,7635,28
8775,9953,27,8775,9953,28
9152,9292,27,9152,9292,28
9117,9925,27,9117,9925,28
468,9292,27,468,9292,28
6663,9492,27,6663,9492,28
6663,8936,27,6663,8936,28
9117,8927,27,9117,8927,28
9152,120,27,9152,120,28
8775,9925,27,8775,9925,28
8890,9953,27,8890,9953,28
6663,9433,27,6663,9433,28
9178,5059,27,9178,5059,28
468,1278,27,468,1278,28
468,9433,27,468,9433,28
9152,5059,27,9152,5059,28
9152,8995,27,9152,8995,28
6663,9960,27,6663,9960,28
1892,1278,27,1892,1278,28
9152,9438,27,9152,9438,28
9117,8995,27,9117,8995,28
9152,8973,27,9152,8973,28
9152,1278,27,9152,1278,28
9117,9953,27,9117,9953,28
9152,9492,27,9152,9492,28
468,8927,27,468,8927,28
9152,6766,27,9152,6766,28
9152,1239,27,9152,1239,28
1892,9433,27,1892,9433,28
9518,8927,27,9518,8927,28
9152,1256,27,9152,1256,28
